HEA Phase Dataset v1d,,,,,,,,,,,,,,,,
Alloy_ID,Alloy,Num_of_Elem,VEC,Atom.Size.Diff,Elect.Diff,dHmix,dSmix,,Sythesis_Route Hot-Cold_Working Homog_Temp,,Homog_Time,Anneal_Temp,Anneal_Time,Quench_Proc,Phases,References
Alloy 0118,CoCrFeNb0.155Ni,5,8.13,2.7709,0.1036,-6.2766,12.42,AC,-,-,-,-,-,-,Im,10.1016/j.intermet.2015.01.004
Alloy 0119,CoCrFeNb0.206Ni,5,8.09,3.1461,0.1056,-7.0248,12.59,AC,-,-,-,-,-,-,Im,10.1016/j.intermet.2015.01.004
Alloy 0120,CoCrFeNb0.309Ni,5,8.02,3.7284,0.109,-8.385,12.84,AC,-,-,-,-,-,-,Im,10.1016/j.intermet.2015.01.004
Alloy 0121,CoCrFeNb0.412Ni,5,7.95,4.2057,0.1121,-9.6859,13.03,AC,-,-,-,-,-,-,Im,10.1016/j.intermet.2015.01.004
Alloy 0122,AlCoCrFeNi,5,7.2,5.25,0.12,-12.32,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2008.01.064
Alloy 0123,AlCoCrFeNi,5,7.2,5.25,0.12,-12.32,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2010.07.028
Alloy 0124,AlCoCrFeNi,5,7.2,5.25,0.12,-12.32,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2010.07.049
Alloy 0125,AlCoCrFeNi,5,7.2,5.25,0.12,-12.32,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.jallcom.2010.10.047
Alloy 0126,AlC0.1CoCrFeNi,6,7.14,8.0099,0.1603,-15.3479,13.92,AC,-,-,-,-,-,-,Im,10.1016/j.jallcom.2010.10.047
Alloy 0127,AlC0.2CoCrFeNi,6,7.08,9.6688,0.1898,-18.1361,14.22,AC,-,-,-,-,-,-,Im,10.1016/j.jallcom.2010.10.047
Alloy 0128,AlC0.3CoCrFeNi,6,7.02,11.02,0.2134,-20.7049,14.43,AC,-,-,-,-,-,-,Im,10.1016/j.jallcom.2010.10.047
Alloy 0129,AlC0.4CoCrFeNi,6,6.96,12.1693,0.2331,-23.0727,14.59,AC,-,-,-,-,-,-,Im,10.1016/j.jallcom.2010.10.047
Alloy 0130,AlC0.5CoCrFeNi,6,6.91,13.1723,0.2499,-25.2562,14.7,AC,-,-,-,-,-,-,Im,10.1016/j.jallcom.2010.10.047
Alloy 0131,AlCCoCrFeNi,6,6.67,16.8561,0.308,-33.8889,14.9,AC,-,-,-,-,-,-,Im,10.1016/j.jallcom.2010.10.047
Alloy 0132,AlCoCrFeMo0.1Ni,6,7.18,5.3,0.13,-12.13,13.92,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2010.07.028
Alloy 0133,AlCoCrFeMo0.2Ni,6,7.15,5.35,0.14,-11.95,14.22,AC,-,-,-,-,-,-,Im,10.1016/j.msea.2010.07.028
Alloy 0134,AlCoCrFeMo0.3Ni,6,7.13,5.7701,0.1466,-11.7764,14.43,AC,-,-,-,-,-,-,Im,10.1016/j.msea.2010.07.028
Alloy 0135,AlCoCrFeMo0.4Ni,6,7.11,5.44,0.15,-11.6,14.59,AC,-,-,-,-,-,-,Im,10.1016/j.msea.2010.07.028
